target,target_p,frequlemfilms2,distractor,distractor_p
pérou,pe-Ru,0.01,sultan,syl-t@
roussi,Ru-si,0.04,copiste,ko-pist
cireux,si-R2,0.15,buttoir,by-twaR
renaud,R2-no,0,grizzli,gRi-zli
nommer,no-me,45.6,panier,pa-nje
mécano,me-ka-no,2.5,samedi,sa-m°-di
nommé,no-me,4.2,houblon,u-bl§
méplat,me-pla,0,gibet,Zi-bE
placé,pla-se,6.18,lingot,l5-go
scénar,se-naR,0.51,sermon,sER-m§
narquois,naR-kwa,0.26,vigile,vi-Zil
coiffer,kwa-fe,8.38,flambeur,fl@-b9R
fécond,fe-k§,0.94,ardu,aR-dy
concis,k§-si,1.42,liquide,li-kid
cité,si-te,0.91,cordeau,kOR-do
téter,te-te,1.71,tripode,tRi-pOd
tétra,te-tRa,0.01,baroud,ba-Rud
tracas,tRa-ka,1.43,voilé,vwa-le
caper,ka-pe,0.02,colon,ko-l§
péon,pe-§,0.02,cosmique,kOs-mik
onder,§-de,0.01,clichage,kli-SaZ
début,de-by,114.31,sinoque,si-nOk
bureau,by-Ro,167.13,mirus,mi-Rys
roter,Ro-te,1.3,sadisme,sa-dizm
têtu,te-ty,9.78,comtal,k§-tal
tutorat,ty-tO-Ra,0.33,élixir,e-lik-siR
rapper,Ra-pe,0.4,bimestre,bi-mEstR
pépin,pe-p5,5.15,cystique,sis-tik
pincer,p5-se,10.84,fileur,fi-l9R
sépale,se-pal,0.03,garrick,ga-Rik
palper,pal-pe,1.81,cyrard,si-RaR
pétard,pe-taR,7.19,flipper,fli-pe
tarder,taR-de,28.36,toluène,to-l8En
débris,de-bRi,4.94,chéri,Se-Ri
bridé,bRi-de,1.45,constable,k§s-tabl
déni,de-ni,0.84,bonder,b§-de
nipper,ni-pe,0.38,soldat,sOl-da
pékin,pe-k5,0.32,frustrer,fRys-tRe
quinto,k5-to,0.22,biniou,bi-nju
toquard,to-kaR,0.13,impropre,5-pROpR
karma,kaR-ma,10.73,conchier,k§-Sje
marri,ma-Ri,0.52,tombeur,t§-b9R
ricin,Ri-s5,0.28,pédiatre,pe-djatR
singer,s5-Ze,0.45,puffin,py-f5
géré,Ze-Re,0.05,justice,Zys-tis
rémora,Re-mO-Ra,0.02,rasibus,Ra-zi-bys
racé,Ra-se,0.07,paroir,pa-RwaR
séton,se-t§,0,troquet,tRo-kE
tomber,t§-be,407.82,viocard,vjO-kaR
béat,be-a,0.26,ingrat,5-gRa
hakka,a-ka,0.01,turco,tyR-ko
casser,ka-se,160.61,iota,jo-ta
saisi,se-zi,1.47,ronchon,R§-S§
zipper,zi-pe,0.25,pékan,pe-k@
pépier,pe-pje,0.35,amorphe,a-mORf
piédestal,pje-dEs-tal,0.8,idéal,i-de-al
talquer,tal-ke,0.04,latter,la-te
képi,ke-pi,2.39,bander,b@-de
pissat,pi-sa,0.1,kava,ka-va
saper,sa-pe,3.23,pervers,pER-vER
pétrus,pe-tRy,0.03,lister,lis-te
truand,tRy-@,5.82,pano,pa-no
amphi,@-fi,0.29,conscrit,k§s-kRi
fifi,fi-fi,0.98,rosir,Ro-ziR
filé,fi-le,0.13,rallié,Ra-lje
lévrier,le-vRi-je,0.94,armagnac,aR-ma-Nak
yeti,je-ti,0.29,vernis,vER-ni
typé,ti-pe,0.01,daguet,da-gE
pénard,pe-naR,0.02,yoghourt,jo-guRt
