target,target_p,frequlemfilms2,distractor,distractor_p
oral,o-Ral,2.31,kebab,ke-bab
oka,o-ka,0,regret,R°-gRE
kaki,ka-ki,0.46,fluor,fly-OR
cador,ka-dOR,0.45,blabla,bla-bla
condor,k§-dOR,1.33,gravir,gRa-viR
stridor,stRi-dOR,0.04,fiasco,fjas-ko
strié,stRi-je,0.06,alto,al-to
prier,pRi-je,313.12,kodiak,ko-djak
primo,pRi-mo,4.1,toton,to-t§
cosmo,kOs-mo,1.07,mecton,mEk-t§
cosmos,kOs-mos,2.34,minus,mi-nys
costal,kOs-tal,0.13,pari,pa-Ri
fatal,fa-tal,11.69,bardo,baR-do
cristal,kRis-tal,10.22,nestor,nEs-tOR
cristi,kRis-ti,0.15,sumo,sy-mo
petit,p°-ti,1106.8,forum,fo-ROm
titi,ti-ti,4.79,arec,a-REk
tibia,ti-bja,2.33,aspic,as-pik
tipi,ti-pi,0.36,recuit,R°-k8i
papi,pa-pi,7.23,asdic,as-dik
pilaf,pi-laf,0.26,lagon,la-g§
pipa,pi-pa,0.02,suri,sy-Ri
papa,pa-pa,259.01,caviar,ka-vjaR
patron,pa-tR§,141.53,moka,mo-ka
tromblon,tR§-bl§,0.06,cruel,kRy-El
blondir,bl§-diR,0.82,tesla,tE-sla
redire,R°-diR,8.61,pronom,pRo-n§
retour,R°-tuR,138.94,flafla,fla-fla
retard,R°-taR,126.45,dolby,dOl-bi
regard,R°-gaR,61.35,nucal,ny-kal
gardon,gaR-d§,1.06,gipsy,Zip-si
pardon,paR-d§,55.62,rital,Ri-tal
parmi,paR-mi,69.17,arac,a-Rak
mitron,mi-tR§,0.14,bezef,be-zEf
citron,si-tR§,1.14,alu,a-ly
civil,si-vil,20.46,lardu,laR-dy
sida,si-da,5.02,venin,v°-n5
dacron,da-kR§,0.02,batik,ba-tik
datif,da-tif,0.02,mino,mi-no
sportif,spOR-tif,7.72,ressac,R°-sak
sportsman,spOR-tsman,0,mixeur,mik-s9R
XXX,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
