target,target_p,frequlemfilms2,distractor,distractor_p
,,,,
biaiser,bje-ze,0.05,grisant,gRi-z@
zéro,ze-Ro,32.85,kascher,ka-SER
rôder,Ro-de,5.76,merdasse,mER-das
déca,de-ka,1.16,gâtisme,ga-tizm
kama,ka-ma,0.14,campo,k@-po
mao,ma-o,0.21,suprême,sy-pREm
ohé,o-e,5.24,valaque,va-lak
écho,e-ko,6.65,galet,ga-lE
codé,ko-de,2.26,tenir,t°-niR
déco,de-ko,2.25,mander,m@-de
coca,ko-ka,14.53,feedback,fid-bak
kappa,ka-pa,0.17,claper,kla-pe
para,pa-Ra,3.23,balto,bal-to
rader,Ra-de,0.47,larynx,la-R5ks
débat,de-ba,10.7,dormir,dOR-miR
bader,ba-de,0.4,cendré,s@-dRe
déci,de-si,0.01,julep,Zy-lEp
sima,si-ma,0.37,fumeux,fy-m2
mara,ma-Ra,0.41,drastique,dRas-tik
ramas,Ra-ma,0.01,injuste,5-Zyst
marrer,ma-Re,16.13,ribes,Ri-bEs
réa,Re-a,0.88,accord,a-kOR
ahan,a-@,0,lupus,ly-pys
encas,@-ka,0.4,cyclique,si-klik
chaos,ka-o,11.3,allié,a-lje
oka,o-ka,0,obtus,Op-ty
carat,ka-Ra,1.46,noircir,nwaR-siR
rabat,Ra-ba,0.38,fuyant,f8i-j@
barrer,ba-Re,26.71,morphing,mOR-fiG
récit,Re-si,9.89,davier,da-vje
cirer,si-Re,6.42,cherry,Se-Ri
répit,Re-pi,3.87,expier,Ek-spje
pica,pi-ka,0.01,braisé,bRe-ze
cabas,ka-ba,0.14,rosier,Ro-zje
bassa,ba-sa,0,atout,a-tu
sabbat,sa-ba,3.28,canot,ka-no
babi,ba-bi,0.02,tiroir,ti-RwaR
bicot,bi-ko,0.11,trusquin,tRys-k5
cocon,ko-k§,1.65,bimestre,bi-mEstR
condé,k§-de,0.1,grêlé,gRe-le
démis,de-mi,0.13,poivrot,pwa-vRo
mica,mi-ka,0.34,rapide,Ra-pid
carré,ka-Re,4.92,fouteur,fu-t9R
réal,Re-al,0.16,retors,R°-tOR
alpha,al-fa,2.09,fournir,fuR-niR
fader,fa-de,0.01,déisme,de-ism
dc,de-se,0.58,chialer,Sja-le
céder,se-de,24.21,fragile,fRa-Zil
dépit,de-pi,5.82,studio,sty-djo
pipa,pi-pa,0.02,lopin,lo-p5
parer,pa-Re,30.5,barber,baR-be
rainer,Re-ne,0.82,frayer,fRe-je
néo,ne-o,0.62,factieux,fak-sj2
aussi,o-si,1402.33,pipeau,pi-po
sidi,si-di,0,tancer,t@-se
dico,di-ko,0.77,frimaire,fRi-mER
coma,ko-ma,12.66,utile,y-til
macis,ma-si,0.01,putride,py-tRid
sipo,si-po,0.03,trekkeur,tRE-k9R
paumer,po-me,4.27,faustien,fos-tj5
méat,me-a,0,accent,ak-s@
haka,a-ka,0.01,braco,bRa-ko
cassis,ka-si,0.67,gidien,Zi-dj5
sitôt,si-to,3.59,lustral,lys-tRal
thomas,to-ma,4.83,tribart,tRi-baR
masser,ma-se,5.69,remarque,R°-maRk
