target,target_p,frequlemfilms2,distractor,distractor_p
,,,,
biafrais,bja-fRE,0,moufter,muf-te
fraiser,fRE-ze,1.52,flotter,flo-te
zéro,ze-Ro,32.85,froidir,fRwa-diR
rôder,Ro-de,5.76,rejeter,R°Z-te
déca,de-ka,1.16,vicier,vi-sje
kama,ka-ma,0.14,seller,se-le
mao,ma-o,0.21,palan,pa-l@
ohé,o-e,5.24,bardo,baR-do
écho,e-ko,6.65,japon,Za-p§
codé,ko-de,2.26,zonage,zo-naZ
déco,de-ko,2.25,mandat,m@-da
coca,ko-ka,14.53,basset,ba-sE
kappa,ka-pa,0.17,typique,ti-pik
para,pa-Ra,3.23,avec,a-vEk
rader,Ra-de,0.47,pékin,pe-k5
débat,de-ba,10.7,imam,i-mam
bader,ba-de,0.4,crypter,kRip-te
déci,de-si,0.01,toquer,to-ke
sima,si-ma,0.37,nerprun,nER-pR1
mara,ma-Ra,0.41,retuer,R2-t8e
ramas,Ra-ma,0.01,biplan,bi-pl@
marrer,ma-Re,16.13,triplex,tRi-plEks
réa,Re-a,0.88,idoine,i-dwan
ahan,a-@,0,durant,dy-R@
encas,@-ka,0.4,ligner,li-Ne
chaos,ka-o,11.3,bâtir,ba-tiR
oka,o-ka,0,exclu,Ek-skly
carat,ka-Ra,1.46,prompto,pR§-to
rabat,Ra-ba,0.38,barda,baR-da
barrer,ba-Re,26.71,motif,mo-tif
récit,Re-si,9.89,sauté,so-te
cirer,si-Re,6.42,surgir,syR-ZiR
répit,Re-pi,3.87,macchab,ma-kab
pica,pi-ka,0.01,esprit,Es-pRi
cabas,ka-ba,0.14,creuser,kR2-ze
bassa,ba-sa,0,labour,la-buR
sabbat,sa-ba,3.28,relu,R°-ly
babi,ba-bi,0.02,oubli,u-bli
bicot,bi-ko,0.11,siéger,sje-Ze
cocon,ko-k§,1.65,traitable,tRE-tabl
condé,k§-de,0.1,voler,vo-le
démis,de-mi,0.13,avide,a-vid
mica,mi-ka,0.34,courriel,ku-RjEl
carré,ka-Re,4.92,navrant,na-vR@
réal,Re-al,0.16,gaulis,go-li
alpha,al-fa,2.09,agglo,a-glo
fader,fa-de,0.01,calice,ka-lis
dc,de-se,0.58,landsturm,l@d-stuRm
céder,se-de,24.21,maudire,mo-diR
dépit,de-pi,5.82,jumping,dZ9m-piG
pipa,pi-pa,0.02,lambris,l@-bRi
parer,pa-Re,30.5,blizzard,bli-zaR
rainer,Re-ne,0.82,cothurne,ko-tyRn
néo,ne-o,0.62,mastiff,mas-tif
aussi,o-si,1402.33,trayon,tRE-j§
