target,target_p,frequlemfilms2,distractor,distractor_p
,,,,
broncho,bR§-ko,0.03,niaiser,njE-ze
codé,ko-de,2.26,gallium,ga-ljOm
déca,de-ka,1.16,triper,tRi-pe
kama,ka-ma,0.14,septuple,sEp-typl
mao,ma-o,0.21,mémo,me-mo
ohé,o-e,5.24,running,Ry-niG
écho,e-ko,6.65,jigger,dZi-g9R
coca,ko-ka,14.53,manant,ma-n@
kappa,ka-pa,0.17,séisme,se-izm
para,pa-Ra,3.23,goumier,gu-mje
rader,Ra-de,0.47,agglo,a-glo
déco,de-ko,2.25,traquer,tRa-ke
cocon,ko-k§,1.65,bouteur,bu-t9R
condé,k§-de,0.1,kibboutz,ki-buts
débat,de-ba,10.7,titisme,ti-tizm
bader,ba-de,0.4,viagra,vja-gRa
déci,de-si,0.01,sorbet,sOR-bE
sima,si-ma,0.37,plaqué,pla-ke
mara,ma-Ra,0.41,dolent,dO-l@
ramas,Ra-ma,0.01,chignon,Si-N§
marrer,ma-Re,16.13,hiver,i-vER
réa,Re-a,0.88,allô,a-lo
ahan,a-@,0,paterne,pa-tERn
encas,@-ka,0.4,forger,fOR-Ze
chaos,ka-o,11.3,ajout,a-Zu
oka,o-ka,0,denté,d@-te
carat,ka-Ra,1.46,fleurer,fl9-Re
rabat,Ra-ba,0.38,flotter,flo-te
barrer,ba-Re,26.71,messer,me-s9R
récit,Re-si,9.89,grabuge,gRa-byZ
cirer,si-Re,6.42,trottin,tRo-t5
répit,Re-pi,3.87,pastis,pas-tis
pica,pi-ka,0.01,lardeux,laR-d2
cabas,ka-ba,0.14,surpoids,syR-pwa
bassa,ba-sa,0,coupage,ku-paZ
sabbat,sa-ba,3.28,froncé,fR§-se
babi,ba-bi,0.02,relais,R°-lE
bicot,bi-ko,0.11,cinabre,si-nabR
coma,ko-ma,12.66,sournois,suR-nwa
macis,ma-si,0.01,viner,vi-ne
sidi,si-di,0,shaker,SEj-k9R
dico,di-ko,0.77,chiasma,kjas-ma
commis,ko-mi,2.99,doublage,du-blaZ
mica,mi-ka,0.34,crésol,kRe-zOl
carré,ka-Re,4.92,moghol,mO-gOl
réal,Re-al,0.16,écru,e-kRy
