target,target_p,frequlemfilms2,distractor,distractor_p
,,,,
inca,5-ka,0.45,morpho,mOR-fo
kama,ka-ma,0.14,micro,mi-kRo
mao,ma-o,0.21,été,e-te
ohé,o-e,5.24,process,pRO-sEs
écho,e-ko,6.65,transept,tR@-sEpt
codé,ko-de,2.26,acide,a-sid
déca,de-ka,1.16,planteur,pl@-t9R
kappa,ka-pa,0.17,adent,a-d@
para,pa-Ra,3.23,onder,§-de
rader,Ra-de,0.47,balsa,bal-za
déco,de-ko,2.25,drosser,dRo-se
coca,ko-ka,14.53,crépir,kRe-piR
chaos,ka-o,11.3,tolu,to-ly
oka,o-ka,0,inepte,i-nEpt
carat,ka-Ra,1.46,rocket,Ro-kEt
ramas,Ra-ma,0.01,glacier,gla-sje
mara,ma-Ra,0.41,leader,li-d9R
rabat,Ra-ba,0.38,bronzer,bR§-ze
bader,ba-de,0.4,gonflable,g§-flabl
débat,de-ba,10.7,lacis,la-si
barrer,ba-Re,26.71,flambard,fl@-baR
réa,Re-a,0.88,effort,e-fOR
ahan,a-@,0,feutré,f2-tRe
encas,@-ka,0.4,commerce,ko-mERs
cabas,ka-ba,0.14,acteur,ak-t9R
bassa,ba-sa,0,peyotl,pE-jOtl
sabbat,sa-ba,3.28,sermon,sER-m§
babi,ba-bi,0.02,jasmin,Zas-m5
bicot,bi-ko,0.11,réjoui,Re-Zwi
cocon,ko-k§,1.65,lequel,l°-kEl
condé,k§-de,0.1,corné,kOR-ne
déci,de-si,0.01,hostau,Os-to
sima,si-ma,0.37,jinjin,dZin-dZin
marrer,ma-Re,16.13,fauchon,fo-S§
récit,Re-si,9.89,boudi,bu-di
cirer,si-Re,6.42,feeling,fi-liG
répit,Re-pi,3.87,iodé,jo-de
pica,pi-ka,0.01,laqué,la-ke
carré,ka-Re,4.92,lignite,li-Nit
réal,Re-al,0.16,voltmètre,vOl-tmEtR
alpha,al-fa,2.09,baudet,bo-dE
fader,fa-de,0.01,rosser,Ro-se
démis,de-mi,0.13,larcin,laR-s5
mica,mi-ka,0.34,tari,ta-Ri
cassis,ka-si,0.67,sermon,sER-m§
sidi,si-di,0,abri,a-bRi
dico,di-ko,0.77,guru,gu-Ru
coma,ko-ma,12.66,gnafron,Na-fR§
macis,ma-si,0.01,prier,pRi-je
sipo,si-po,0.03,slibard,sli-baR
paumer,po-me,4.27,barman,baR-man
méat,me-a,0,poignard,pwa-NaR
haka,a-ka,0.01,speeder,spi-de
kami,ka-mi,0.2,exact,Eg-zakt
mirer,mi-Re,0.48,riesling,Ri-sliG
rainer,Re-ne,0.82,clodo,klo-do
néo,ne-o,0.62,bonnard,bo-naR
aussi,o-si,1402.33,gommer,go-me
sitôt,si-to,3.59,bruni,bRy-ni
thomas,to-ma,4.83,galber,gal-be
masser,ma-se,5.69,merder,mER-de
céder,se-de,24.21,brûlot,bRy-lo
dc,de-se,0.58,rempli,R@-pli
secco,se-ko,0,tertiaire,tER-sjER
commis,ko-mi,2.99,voyer,vwa-je
mimer,mi-me,0.93,trempé,tR@-pe
messie,me-si,0.69,blocage,blo-kaZ
sirop,si-Ro,5.75,mêlé,me-le
rôder,Ro-de,5.76,diocèse,djo-sEz
dépit,de-pi,5.82,landlord,l@d-lOR
pipa,pi-pa,0.02,plâtras,pla-tRa
parer,pa-Re,30.5,bordier,bOR-dje
rêver,Re-ve,122.95,briscard,bRis-kaR
veto,ve-to,1.94,linger,l5-Ze
toper,to-pe,2.59,étroit,e-tRwa
pédé,pe-de,33.12,germen,ZER-mEn
délit,de-li,13.52,hilare,i-laR
lycée,li-se,42.56,bizuth,bi-zy
serrer,se-Re,50.99,mariol,ma-RjOl
réac,Re-ak,0.59,harpiste,aR-pist
axer,ak-se,0.61,bellot,bE-lo
sénat,se-na,1.38,greffé,gRe-fe
narrer,na-Re,0.24,contexte,k§-tEkst
répons,Re-p§,0.04,veiné,ve-ne
pomper,p§-pe,5.24,grinchir,gR5-SiR
péan,pe-@,0,cockpit,kOk-pit
emmi,@-mi,0.03,comique,ko-mik
milli,mi-li,0.16,déport,de-pOR
limer,li-me,1.07,faucon,fo-k§
méta,me-ta,0.14,venir,v°-niR
tacon,ta-k§,0,fumiste,fy-mist
compas,k§-pa,1.5,tabla,ta-bla
papé,pa-pe,0,router,Ru-te
pays,pe-i,202.57,beagle,bi-g9l
ici,i-si,0.58,coiffeur,kwa-f9R
cireux,si-R2,0.15,meublé,m9-ble
renaud,R2-no,0,lala,la-la
nommer,no-me,45.6,saura,so-Ra
mémo,me-mo,3.21,turbot,tyR-bo
moka,mo-ka,0.64,ressaut,R°-so
caper,ka-pe,0.02,scandale,sk@-dal
pessah,pe-sa,0.03,gonflage,g§-flaZ
saï,sa-i,0.01,brisis,bRi-zi
hippy,i-pi,0.11,cryptage,kRip-taZ
pico,pi-ko,0.31,doigté,dwa-te
quota,ko-ta,2.12,crumble,kR9m-b9l
taco,ta-ko,2,papet,pa-pE
colis,ko-li,7.5,errer,E-Re
lilas,li-la,0.16,aman,a-m@
