target,target_p,frequlemfilms2,distractor,distractor_p
,,,,
braisé,bRe-ze,0.42,prénom,pRe-n§
zéro,ze-Ro,32.85,vicaire,vi-kER
rôder,Ro-de,5.76,transi,tR@-zi
déca,de-ka,1.16,dopant,dO-p@
kama,ka-ma,0.14,embuer,@-b8e
mao,ma-o,0.21,lavoir,la-vwaR
ohé,o-e,5.24,wildcat,waj-ldkat
écho,e-ko,6.65,viner,vi-ne
codé,ko-de,2.26,vassal,va-sal
déco,de-ko,2.25,triceps,tRi-sEps
coca,ko-ka,14.53,kawa,ka-wa
kappa,ka-pa,0.17,lagon,la-g§
para,pa-Ra,3.23,lisser,li-se
rader,Ra-de,0.47,ouvrable,u-vRabl
débat,de-ba,10.7,bronzage,bR§-zaZ
bader,ba-de,0.4,lisier,li-zje
déci,de-si,0.01,morbac,mOR-bak
sima,si-ma,0.37,triton,tRi-t§
mara,ma-Ra,0.41,carême,ka-REm
ramas,Ra-ma,0.01,cartel,kaR-tEl
marrer,ma-Re,16.13,culex,ky-lEks
réa,Re-a,0.88,tussor,ty-sOR
ahan,a-@,0,crieur,kRi-j9R
encas,@-ka,0.4,quatorze,ka-tORz
chaos,ka-o,11.3,baryum,ba-RjOm
oka,o-ka,0,déçu,de-sy
carat,ka-Ra,1.46,hetman,Et-m@
rabat,Ra-ba,0.38,chartiste,SaR-tist
barrer,ba-Re,26.71,fellah,fe-la
récit,Re-si,9.89,service,sER-vis
cirer,si-Re,6.42,branler,bR@-le
répit,Re-pi,3.87,mutable,my-tabl
pica,pi-ka,0.01,rubis,Ry-bi
cabas,ka-ba,0.14,susucre,sy-sykR
bassa,ba-sa,0,relu,R°-ly
sabbat,sa-ba,3.28,corsé,kOR-se
babi,ba-bi,0.02,huron,y-R§
bicot,bi-ko,0.11,réal,Re-al
cocon,ko-k§,1.65,organe,OR-gan
condé,k§-de,0.1,blazer,bla-zER
démis,de-mi,0.13,cirer,si-Re
mica,mi-ka,0.34,doté,do-te
carré,ka-Re,4.92,gangster,g@g-stER
réal,Re-al,0.16,errer,E-Re
alpha,al-fa,2.09,sismique,sis-mik
fader,fa-de,0.01,tronqué,tR§-ke
dc,de-se,0.58,buisson,b8i-s§
céder,se-de,24.21,marcel,maR-sEl
dépit,de-pi,5.82,basket,bas-kEt
pipa,pi-pa,0.02,filtrage,fil-tRaZ
parer,pa-Re,30.5,chevet,S°-vE
rainer,Re-ne,0.82,broncher,bR§-Se
néo,ne-o,0.62,fy,fi-1
aussi,o-si,1402.33,suspense,sys-pEns
sidi,si-di,0,tétra,te-tRa
dico,di-ko,0.77,gimmick,Z5-mik
coma,ko-ma,12.66,exorde,Eg-zORd
